name,description,tags,node_type,location,centroid
Uni Hamburg - Bibliotheken,,,['POI'],POINT(9.985613 53.565226),
Uni Hamburg - Career Center,,,['POI'],POINT(9.97665 53.569927),
Uni Hamburg - Druckerei,,,['POI'],POINT(9.982449 53.567427),
Uni Hamburg - Eingang Edmund-Siemers-Allee,,,['POI'],POINT(9.985715 53.56377),
Uni Hamburg - Eingang Martinistr.,,,['POI'],POINT(9.976203 53.589178),
Uni Hamburg - Hochschulsport,,,['POI'],POINT(9.990784 53.57079),
Uni Hamburg - Marketing GmbH,,,['POI'],POINT(9.990705 53.564807),
Uni Hamburg - Pressestelle,,,['POI'],POINT(9.988047 53.562798),
Uni Hamburg - Uni-Shop,,,['POI'],POINT(9.983576 53.565261),
Öffentliche Verwaltung der Uni,,,['POI'],POINT(9.951189 53.580187),
Abendschule St.Georg,,,['POI'],POINT(10.017123 53.558115),
Abendschule Vor dem Holstentor,,,['POI'],POINT(9.977055 53.558027),
Privates Abendgymnasium Brecht,,,['POI'],POINT(10.005704 53.555768),
Akademie für Gestaltung,,,['POI'],POINT(10.001053 53.551791),
Brecht-Realschule - Grund-/Haupt- und Realschule,,,['POI'],POINT(10.00563 53.555841),
Bugenhagen-Schule - Sonderschule,,,['POI'],POINT(10.02667 53.617023),
Christophorus-Schule,,,['POI'],POINT(10.136 53.674763),
Domschule St. Marien - Grund- und Stadtteilschule mit Vorschulklasse,,,['POI'],POINT(10.014208 53.558005),
Friedrich-Robbe-Institut e.V.,,,['POI'],POINT(10.063694 53.569553),
Griechisches Lyzeum,,,['POI'],POINT(10.048702 53.599319),
Hermanneum Studienschule,,,['POI'],POINT(9.852776 53.562204),
Höhere Handelschule St. Georg,,,['POI'],POINT(10.016977 53.557667),
Jenisch-Gymnasium,,,['POI'],POINT(9.854379 53.562328),
Skandinavische Schule in Hamburg,,,['POI'],POINT(9.98153 53.579214),
Stadtteilschule St.Georg,,,['POI'],POINT(10.017007 53.557676),
"Wichern-Schule - Grund- und Stadtteilschule, Gymnasium",,,['POI'],POINT(10.069458 53.555089),
Deutsch als Fremdsprache,,,['POI'],POINT(10.013408 53.559881),
"Hamburger Volkshochschule, Deutsch als Fremdsprache",,,['POI'],POINT(10.013515 53.559952),
"Hamburger Volkshochschule, Projekt Schulabschlüsse in Bahrenfeld",,,['POI'],POINT(9.872798 53.564863),
"Hamburger Volkshochschule, Stadtbereich Bergedorf/Billstedt",,,['POI'],POINT(10.208106 53.497949),
"Hamburger Volkshochschule, Stadtbereich Harburg/Finkenwerder",,,['POI'],POINT(9.985409 53.457744),
"Hamburger Volkshochschule, Stadtbereich Mitte",,,['POI'],POINT(9.965363 53.562804),
"Hamburger Volkshochschule, Stadtbereich Nord",,,['POI'],POINT(10.038072 53.587803),
"Hamburger Volkshochschule, Stadtbereich Ost",,,['POI'],POINT(10.120172 53.606929),
"Hamburger Volkshochschule, Stadtbereich West",,,['POI'],POINT(9.881591 53.559479),
VHS Bereich Ost,,,['POI'],POINT(10.120172 53.606929),
VHS Bereich West,,,['POI'],POINT(9.881591 53.559479),
VHS Bergedorf,,,['POI'],POINT(10.207551 53.497514),
VHS Billstedt,,,['POI'],POINT(10.105812 53.53844),
